Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
N A95 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A96 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A97 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A98 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A99 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A101 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A102 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A104 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A105 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A106 M ,Bø gamle kirke,Bø sn,Telemark fylke,Bø,,(59.4110 ; 9.0563),,,M,,,trä,trä,kyrkografitti,59.411,9.0563
N A108 M? ,"Erling Skakkes gate 1B, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-4552)",(63.42875 ; 10.39922),,,M?,,,ben/horn,ben,runben,63.42875,10.39922
N A109 M ,"Søndre gate 10, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-10607)",(63.43180 ; 10.39961),,,M,,,ben/horn,nötkreatur,runben,63.4318,10.39961
N A110 M ,"Søndre gate 10, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-10606)",(63.43180 ; 10.39961),,,M,,,ben/horn,ben,runben,63.4318,10.39961
N A111  ,"Søndre gate 10, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-9320)",(63.43180 ; 10.39961),,,V första hälften av 1000-t,,,ben/horn,renhorn,kam,63.4318,10.39961
N A112 M ,"Kongens gate 2, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-4272)",(63.43049 ; 10.40035),,,M 1200-1300-t,,,sten,täljsten,sländtrissa,63.43049,10.40035
N A113 M ,"Nedre Langgate 45, Tønsberg",Tønsberg,Vestfold fylke,Tønsberg,,(59.2675 ; 10.4050),,,M 1300-1375,,,trä,trä,botten av kärl,59.2675,10.405
N A114  ,"Søndre gate 10, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-10057)",(63.43180 ; 10.39961),,,?,,,ben/horn,nötkreatur,runben,63.4318,10.39961
N A115 M ,Eidsborg stavkirke,"Eidsborg, Mo og Skafså sn",Telemark fylke,Tokke,,(59.4646 ; 8.0219),,,M,,,trä,trä,stavkyrkegrafitti,59.4646,8.0219
N A116 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-17930)",(63.4305 ; 10.4010),,,M 1225-1325,,,trä,trä,fragment av trästycke,63.4305,10.401
N A117 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-17931)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,"runkavel, fyrkantig",63.4305,10.401
N A118 M ,"Søndre felt, Gamlebyen, Oslo",Oslo,,Oslo,"Oldsaksamlingen (C34020, G14185)",,,,M,,,trä,furu,botten till kar,,
N A119 M ,"Søndre felt, Gamlebyen, Oslo",Oslo,,Oslo,"Oldsaksamlingen (C34182, G18855)",,,,M,,,trä,furu,fragment av märklapp,,
N A120 M ,"Søndre felt, Gamlebyen, Oslo",Oslo,,Oslo,"Oldsaksamlingen (C34182, G19682)",,,,M,,,trä,furu,pinne,,
N A121 $M ,"Nedre Langgate 18, Tønsberg",Tønsberg,Vestfold fylke,Tønsberg,,(59.26579 ; 10.40740),,,M 1300-1375,,,metall,bly,bleck (amulett),59.26579,10.4074
N A122 M ,Kaupanger hovedgård,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.18354 ; 7.23613),,,M,,,metall,bly,bleck (amulett),61.18354,7.23613
N A123 M ,Osen,Bygstad sn,Sogn og Fjordane fylke,Gaular,,(61.36460 ; 5.67810),,,M,,,metall,bly,kors,61.3646,5.6781
N A124 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-20884)",(63.4305 ; 10.4010),,,M 1150-1225,,,trä,trä,platta,63.4305,10.401
N A125 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-21142)",(63.4305 ; 10.4010),,,M 1175-1275,,,sten,täljsten,sten,63.4305,10.401
N A126 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-21447)",(63.4305 ; 10.4010),,,M m 1300-t - 1400-t,,,trä,trä,"runkavel, pinne",63.4305,10.401
N A127 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-21492)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A128 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-21493)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A129 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-21749)",(63.4305 ; 10.4010),,,M 1175-1325,,,trä,trä,märklapp,63.4305,10.401
N A130 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-22559)",(63.4305 ; 10.4010),,,M 1275-1325,,,trä,trä,trästycke,63.4305,10.401
N A131 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-22564)",(63.4305 ; 10.4010),,,M 1275-1325,,,trä,trä,runkavel,63.4305,10.401
