Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
Sö 122 $ ,Skresta,Allhelgona sn (nu Helgona),Rönö hd,Nyköping,,6520652.157,,"A1; B1; C10, C11; D1; E6, E11; F3; 0",V,Pr2,Traen (A),sten,gnejs,runsten,58.80655459,17.01327
Sö 123 $ ,Skresta,Allhelgona sn (nu Helgona),Rönö hd,Nyköping,,6520671.157,,,V,RAK,Traen (A),sten,gnejs,runsten,58.8067585,17.01327
Sö 124  ,Bogsta kyrka,Bogsta sn,Rönö hd,Nyköping,,6529164.158,,,V,Pr4,,sten,gnejs,runsten,58.88300875,17.01327
Sö 125  ,Bogsta kyrka,Bogsta sn,Rönö hd,Nyköping,,6529156.158,,A1; ?; C8; D3; 0; F3; 0,V,Pr2?,,sten,,runsten,58.88297039,17.01327
Sö 126  ,"Fagerlöt, Hamra skog",Bogsta sn,Rönö hd,Nyköping,,6526535.158,,"A1; B1; C6, C7; D1; E7; F3; 0",V,Pr2 - Pr3?,,sten,,berghäll,58.85948279,17.01327
Sö 127 † ,Rossbäcks rännil,Bogsta sn,Rönö hd,Nyköping,,6529058.158,,,V,?,,sten,,fragment av runsten,58.88215772,17.01327
Sö 128  ,Lids kyrka,Lids sn,Rönö hd,Nyköping,Vid kyrkogårdsporten.,6532832.157,,A1; B3; C10; D1; 0; F3; 0,V,Pr2,,sten,sandsten,runsten,58.91605905,17.01327
Sö 129  ,Lids kyrkogårdsport,Lids sn,Rönö hd,Nyköping,,6532833.157,,"A1; B1; C9, C10; D1; E6, E6, E11; F3; 0",V,?,Traen (A),sten,gråsten,runsten,58.91610139,17.01327
Sö 130 $ ,"Hagstugan, Sparsta ägor",Lids sn,Rönö hd,Nyköping,,6530636.157,"långkvist, samstavsrunor och lönnrunor (kvistrunor)",A9; B1; 0; 0; 0; F1; 0,V,"Fp, Pr1?",Traen (A),sten,gråsten,runsten,58.89641875,17.01327
Sö 131  ,Lundby,Lids sn,Rönö hd,Nyköping,,6531821.157,,A1; B1; C10; D1; E7; F3; 0,V,RAK,,sten,granit,runsten,58.90708629,17.01327
Sö 132  ,Sanda,Lids sn,Rönö hd,Nyköping,,6533296.157,,A2; B3; C5; D1; 0; F3; G6,V,KB,,sten,gråsten,runsten,58.92035628,17.01327
Sö 133 $ ,Väringe,Lids sn,Rönö hd,Nyköping,,6532222.157,långkvist och korsformig bindruna,,V,RAK?,"Äsbjörn 3 ? (S) [ej Äsbjörn, Williams manus]",sten,gråsten,runsten,58.91075139,17.01327
Sö 134  ,Ludgo kyrka,Ludgo sn,Rönö hd,Nyköping,,6533501.158,,,V,RAK,,sten,sandsten,runsten,58.92226245,17.01327
Sö 135 † ,Ludgo prästgård,Ludgo sn,Rönö hd,Nyköping,,6534150.158,,A7; B2; 0; 0; 0; F1; 0,V,RAK,,sten,,fragment av runsten,58.92811981,17.01327
Sö 136 † ,Aspa,Ludgo sn,Rönö hd,Nyköping,,6534550.157,,"A1; B1; C9, C10; D1; E6, E11; F3; 0",V,Pr1,Traen (A),sten,,runsten,58.9317426,17.01327
Sö 137 $ ,Aspa,Ludgo sn,Rönö hd,Nyköping,,6534451.157,"långkvist, stavlösa och samstavsrunor",,V,RAK,,sten,gråsten,runsten,58.93088732,17.01327
Sö 138  ,Aspa,Ludgo sn,Rönö hd,Nyköping,,6534448.157,,,V,Fp,,sten,gråsten,runsten,58.93089352,17.01327
Sö 139 $ ,"Korpbron, Jursta ägor",Ludgo sn,Rönö hd,Nyköping,"Står 3,5 m ONO om Sö 140.",6534202.157,,A1; B1; 0; D1; 0; F3; 0,V,Pr3?,Finn (S); Kjul (S),sten,gråsten,runsten,58.92871897,17.01327
Sö 140 $ ,"Korpbron, Jursta ägor",Ludgo sn,Rönö hd,Nyköping,"Står 3,5 m VSV om Sö 139.",6534199.157,långkvist och korsformig bindruna,,V,Fp,,sten,gråsten,runsten,58.92872511,17.01327
Sö 141  ,Löta,Ludgo sn,Rönö hd,Nyköping,,6534594.157,,A3; B1; C10; D3; 0; F3; 0 [Klassificerad av redaktionen],V,?,,sten,gråsten,runsten,58.93230292,17.01327
Sö 142  ,Kalkbron,Lästringe sn,Rönö hd,Nyköping,Flyttad över sockengränsen och står numera i Bälinge sn.,6529165.159,,,V,Pr3?,,sten,gråsten,runsten,58.88361511,17.01327
Sö 143  ,Runtuna kyrka,Runtuna sn,Rönö hd,Nyköping,,6530565.157,,"A4; B3; C4, C10; D1; E9; F3; G6",V,KB,Tore 1 (A),sten,gråsten,runsten,58.89621192,17.01327
Sö 144  ,Broby,Runtuna sn,Rönö hd,Nyköping,,6525883.157,,A1; B1; 0; D1; E7; F3; 0,V,Fp,,sten,,berghäll,58.85422733,17.01327
Sö 145 † ,Eneby,Runtuna sn,Rönö hd,Nyköping,,6529718.157,,"A1; B1; C9, C10; D1; E10; F3; 0",V,?,,sten,,runsten,58.88867651,17.01327
Sö 146 † ,Eneby,Runtuna sn,Rönö hd,Nyköping,,6529718.157,,,V,?,,sten,,runsten,58.88870934,17.01327
Sö 147 †$ ,Glåttra,Runtuna sn,Rönö hd,Nyköping,,6530350.157,,"A1; B3; C9, C10; D1; E6, E11; F3; 0",V,RAK,,sten,,runsten,58.89441388,17.01327
Sö 148  ,Innberga,Runtuna sn,Rönö hd,Nyköping,,6529681.157,långkvist och stavlösa,"A1; B2; C6, C7, C11; D1; E7, E11; F3; 0",V,?,Traen (A),sten,gråsten,runsten,58.88844286,17.01327
Sö 149  ,Kungberga,Runtuna sn,Rönö hd,Nyköping,Vid kyrkan.,6530495.157,,?; B3; C4; ?; ?; F3; G6,V,KB,Tore 1 (A),sten,gråsten,runsten,58.89578068,17.01327
Sö 150  ,Kungberga,Runtuna sn,Rönö hd,Nyköping,,6530474.157,,?; ?; ?; D1; ?; F3; ?,V,?,,sten,gråsten,fragment av runsten,58.89562494,17.01327
Sö 151 $ ,Lövsund,Runtuna sn,Rönö hd,Nyköping,,6528550.158,långkvist och lönnrunor (kvistrunor),"A1; B3; C6, C7; D1; E6, E7, E11; F3; 0",V,Pr1,Traen (A),sten,gråsten,runsten,58.87839105,17.01327
Sö 152  ,Membro,Runtuna sn,Rönö hd,Nyköping,"Ett fragment vid kyrkan, de övriga i Sörmlands museum.",6531051.157,,A4; B2; C4; D1; 0; F3; 0,V,KB?,,sten,gnejs,runsten,58.90086848,17.01327
Sö 153 † ,Skarpåker,Runtuna sn,Rönö hd,Nyköping,,6528063.157,,?; B1; C10; D1?; E11?; F3; 0,V,?,Traen (A),sten,,fragment av runsten,58.87408578,17.01327
Sö 154  ,Skarpåker,Runtuna sn,Rönö hd,Nyköping,Nu vid Lindö.,6528233.157,långkvist och stavlösa,"A1; B3; C10, C11; D1; E6, E11; F3; 0",V,Pr1,Traen (A),sten,gråsten,runsten,58.87564401,17.01327
Sö 155 $ ,Söderby,Runtuna sn,Rönö hd,Nyköping,,6525626.157,,,V,Pr2?,,sten,gråröd granit,fragment av runsten,58.85228027,17.01327
Sö 156 † ,Söderby,Runtuna sn,Rönö hd,Nyköping,,6525750.157,,,V,?,,sten,,fragment av runsten,58.8534256,17.01327
Sö 157 †$ ,Ärsta,Runtuna sn,Rönö hd,Nyköping,,6528061.157,,?; ?; C10?; D1; 0; F3; 0,V,?,,sten,,runsten,58.87419797,17.01327
Sö 158 $ ,Österberga,Runtuna sn,Rönö hd,Nyköping,,6527182.157,långkvist och samstavsrunor,,V,Fp,Tidigare tolkad som signerad av Traen.,sten,,runsten,58.86634191,17.01327
Sö 159 $ ,Österberga,Runtuna sn,Rönö hd,Nyköping,,6527939.157,långkvist och stavlösa,"A1?; B1; C6, C7; D1; E10; F3; 0",V,Pr1? [Källström 2007a:362],Gunnlev 1 (S) (och Rörik (S) och Gudmund (S) enligt äldre läsning),sten,granit,runsten,58.87316799,17.01327
Sö 160  ,Råby kyrka,Råby-Rönö sn,Rönö hd,Nyköping,"I parken vid Täckhammar, Bärbo sn.",6527781.156,,A1; B2; 0; D1; 0; F2; G5,V,?,Gunnlev 2 (S)(P) och Sigmund (S)(P) [Källström 2007a:114],sten,sandsten,runsten,58.87178242,17.01327
Sö 161  ,Råby kyrka,Råby-Rönö sn,Rönö hd,Nyköping,"I parken vid Täckhammar, Bärbo sn.",6527781.156,,,V,RAK,,sten,sandsten,runsten,58.87181479,17.01327
Sö 162 $ ,Råby kyrka,Råby-Rönö sn,Rönö hd,Nyköping,"I parken vid Täckhammar, Bärbo sn.",6527781.156,,,V,RAK,Gunnlev 2 (S) och Sigmund (S),sten,sandsten,runsten,58.87184714,17.01327
Sö 163 $ ,Rycksta,Råby-Rönö sn,Rönö hd,Nyköping,"I parken vid Täckhammar, Bärbo sn.",6524292.157,,A1; B1; C10; D1; E10; F3; 0,V,Fp,,sten,sandsten,runsten,58.84056738,17.01327
Sö 164 $ ,Spånga,Råby-Rönö sn,Rönö hd,Nyköping,,6523538.157,"långkvist, stavlösa och lönnrunor (kvistrunor)","A1; B3; C7, C11; D4; E6, E11; F3; 0",V,RAK,Traen (A),sten,gråsten,runsten,58.83383281,17.01327
Sö 165 $ ,Grinda,Spelviks sn,Rönö hd,Nyköping,,6531921.157,,,V,RAK?,,sten,gråsten,runsten,58.90909834,17.01327
Sö 166  ,Grinda,Spelviks sn,Rönö hd,Nyköping,,6531909.157,,"A1; B3; C9, C10; D1; E10; F3; 0",V,RAK,,sten,gnejs,runsten,58.90902292,17.01327
Sö 167  ,Landshammar,Spelviks sn,Rönö hd,Nyköping,,6532576.157,långkvist och lönnrunor (kvistrunor),"A1; B3; 0; D1; E6, E11; F3; 0",V,Fp,Traen (A),sten,gråsten,runsten,58.91504113,17.01327
Sö 168 $ ,Landshammar,Spelviks sn,Rönö hd,Nyköping,,6532576.157,,A9; ?; ?; 0; 0; F1; 0,V,?,,sten,granit,runsten,58.91507335,17.01327
Sö 169 † ,Ekeby,Svärta sn,Rönö hd,Nyköping,,6519700.157,,,V,?,,sten,,runsten,58.79954884,17.01327
Sö 170 $ ,Nälberga,Svärta sn,Rönö hd,Nyköping,,6520907.158,långkvist och lönnrunor (kvistrunor),"A1; B3; C10; D1; E6, E7, E11; F3; G6",V,RAK?,Traen (A),sten,gråsten,runsten,58.81041331,17.01327
Sö 171  ,Esta,Sättersta sn,Rönö hd,Nyköping,3 delar finns i SHM (24015).,6530537.158,,A4; B2; C4; D1; E9; F3; G4,V,KB,Tore 1 (A),sten,diorit,jordfast stenblock,58.89687081,17.01327
Sö 172  ,Tystberga kyrka,Tystberga sn,Rönö hd,Nyköping,I väggen av östra tornmuren.,6528151.158,,A1; B3; C4; D1; E6; F3; G6,V,KB?,,sten,,fragment av runsten,58.87548959,17.01327
Sö 173 $ ,Tystberga,Tystberga sn,Rönö hd,Nyköping,,6527961.158,,,V,"Fp, Pr2",,sten,gråsten,runsten,58.87381644,17.01327
Sö 174 $ ,Aspö kyrka,Aspö sn,Selebo hd,Strängnäs,,6596538.157,,A4; B1; 0; D5; ?; F3; 0,V,Pr1,,sten,gråsten,runsten,59.48926305,17.01694
Sö 175  ,Lagnö,Aspö sn,Selebo hd,Strängnäs,,6595859.157,,,V,Pr3,Balle (A),sten,,berghäll,59.48320277,17.01694
Sö 176  ,Kärnbo ödekyrka,Kärnbo sn,Selebo hd,Strängnäs,SHM (10173),6571990.158,kortkvist,,V 900-t,,,sten,sandsten,fragment av runsten,59.2690411,17.01694
Sö 177 $ ,Kärnbo ödekyrka,Kärnbo sn,Selebo hd,Strängnäs,Inmurad i södra kyrkoväggen.,6571986.158,,"A4; B3; C6, C7; D1; E3; F3; G4, G6",V,KB,Brune (A),sten,granit,runsten,59.26903761,17.01694
Sö 178 $ ,Gripsholm,Kärnbo sn,Selebo hd,Strängnäs,,6571536.158,,"A4; B3; C4, C7; D1, D2; E3; F3; G6",V,Pr4,Brune (S),sten,sandsten,runsten,59.26503171,17.01694
Sö 179  ,Gripsholm,Kärnbo sn,Selebo hd,Strängnäs,,6571512.158,,,V,Fp,Äskil 2 (A),sten,granit,runsten,59.26484868,17.01694
Sö 180  ,Harby,Kärnbo sn,Selebo hd,Strängnäs,,6573962.158,,A1; B1; 0; D1; 0; F3; 0,V,?,,sten,,jordfast stenblock,59.28686722,17.01694
Sö 181  ,Helanda,Kärnbo sn (nu Mariefred),Selebo hd,Strängnäs,Ligger på Mariefreds kyrkogård.,6567835.158,,,V,?,,sten,sandsten,fragment av runsten,59.23191577,17.01694
Sö 182  ,Läggesta,Kärnbo sn,Selebo hd,Strängnäs,I Mariefreds kyrka.,6571175.158,,?; ?; ?; D1?; ?; ?; ?,V,?,,sten,sandsten,fragment av runsten,59.26192129,17.01694
Sö 183 $ ,Viggeby,Kärnbo sn,Selebo hd,Strängnäs,,6573531.158,,,V,Fp,,sten,granit,runsten,59.28309629,17.01694
Sö 184 $ ,Årby,Kärnbo sn,Selebo hd,Strängnäs,,6571964.158,,A8; B2; C4; 0; 0; F1; 0,V,KB,,sten,granit,runsten,59.26906622,17.01694
Sö 185 † ,Ärnäs,Kärnbo sn,Selebo hd,Strängnäs,,6574250.158,,,V,Pr2,,sten,,fragment av runsten,59.28961301,17.01694
Sö 186 † ,Ärnäs,Kärnbo sn,Selebo hd,Strängnäs,,6574250.158,,,V,?,,sten,,fragment av runsten,59.28964518,17.01694
Sö 187  ,Harby,Toresunds sn,Selebo hd,Strängnäs,,6578003.158,,"A4; B3; 0; D1, D4; E5; F3; 0",V,Pr2?,Balle (A),sten,granit,runsten,59.32335673,17.01694
Sö 188 $ ,Åkerby,Toresunds sn,Selebo hd,Strängnäs,,6582094.158,,,V,Pr1,,sten,,jordfast stenblock,59.36010131,17.01694
Sö 189  ,Åkerby,Toresunds sn,Selebo hd,Strängnäs,,6582094.158,,"A2; B2; C9; D1, D3; 0; F2 - F3; 0",V,?,,sten,granit,runsten,59.36013348,17.01694
Sö 190 $ ,Ytterenhörna kyrka,Ytterenhörna sn,Selebo hd,Södertälje,,6571462.16,,,V,Pr2,Torbjörn 4 (S); Torbjörn skald (S) [Källström 1999:50ff],sten,sandsten,runsten,59.26475384,17.62872
Sö 191 † ,Ytterselö kyrka,Ytterselö sn,Selebo hd,Strängnäs,,6584924.158,,,V,?,,sten,,fragment av gravhäll,59.38559394,17.01694
Sö 192  ,Berg,Ytterselö sn,Selebo hd,Strängnäs,,6585911.158,,A1; B1; C?; D1; 0; F3; 0,V,Pr3,Balle (A),sten,granit,runsten,59.3944833,17.01694
Sö 193  ,Berg,Ytterselö sn,Selebo hd,Strängnäs,I vapenhuset i Ytterselö kyrka.,6586000.158,,,V,Pr3,"Balle (A); Livsten (A), Tidkume (A)",sten,granit,ristad sten,59.39531408,17.01694
Sö 194  ,Brössike,Ytterselö sn,Selebo hd,Strängnäs,,6588725.158,,,V,Fp,Balle (A),sten,granit,runsten,59.41980002,17.01694
Sö 195 $ ,Brössike,Ytterselö sn,Selebo hd,Strängnäs,,6588640.158,,,V,Pr3,Hallbjörn/Halvboren (S),sten,granit,jordfast stenblock,59.41906931,17.01694
Sö 196 $ ,"Kolsundet, Husby",Ytterselö sn,Selebo hd,Strängnäs,,6583135.158,,A7; B1; 0; D1; 0; F3; 0,V,Fp,Assur (S) (för §P),sten,granit,runsten,59.36969977,17.01694
Sö 197  ,"Kolsundet, Husby",Ytterselö sn,Selebo hd,Strängnäs,,6583092.158,,,V,Pr3,Balle (A),sten,,jordfast stenblock,59.36934583,17.01694
Sö 198  ,Mervalla,Ytterselö sn,Selebo hd,Strängnäs,,6585409.158,,A4; B3; C1; D1; E5; F3; 0,V,Fp,"Samma som gjort Sö 200, 207, U 792. (Balle (A))",sten,granit,runsten,59.3901705,17.01694
Sö 199  ,Ullunda,Ytterselö sn,Selebo hd,Strängnäs,,6586573.158,,A1; B2; C1; D1; 0; F2; 0,V,Fp,,sten,,jordfast stenblock,59.40064812,17.01694
Sö 200  ,Åsa,Ytterselö sn,Selebo hd,Strängnäs,,6586331.158,,"A4?; B?; C1?, C10; D1; E5; F3; 0",V,Fp,"Samma som gjort Sö 198, 207, U 792. (Balle (A))",sten,granit,runsten,59.39850831,17.01694
Sö 201  ,Älby,Ytterselö sn,Selebo hd,Strängnäs,Älby gärde,6590038.158,,,V,Pr3,Tidkume (A),sten,brun sandsten,ristad sten,59.43180667,17.01694
Sö 202 $ ,Östa,Ytterselö sn,Selebo hd,Strängnäs,,6584050.158,,,V,Fp,Äskil 1 (A); Äsger (A) [Källström 2007b],sten,granit,runsten,59.37810225,17.01694
Sö 203  ,Östa,Ytterselö sn,Selebo hd,Strängnäs,,6584002.158,,A4; B1; 0; D5; E5; F3; 0,V,Pr3,Balle (S),sten,granit,runsten,59.37770328,17.01694
Sö 204 $ ,Överselö kyrka,Överselö sn,Selebo hd,Strängnäs,Inmurad i kyrkväggen.,6589459.158,,,V,Pr4,Äsbjörn (A) [Källström 1997],sten,gnejs,runsten,59.42670627,17.01694
Sö 205 $ ,Överselö kyrka,Överselö sn,Selebo hd,Strängnäs,,6589472.158,,,V,Pr4?,Tidkume (S) och Äsbjörn 1 (S) och Orökja 1 (S),sten,granit,fragment av runsten,59.42685472,17.01694
Sö 206  ,Överselö kyrka,Överselö sn,Selebo hd,Strängnäs,,6589444.158,,,V,Pr4,Äsbjörn (A) [Källström 1997],sten,,runsten,59.42663519,17.01694
Sö 207  ,Överselö kyrka,Överselö sn,Selebo hd,Strängnäs,,6589450.158,,A4; B3; C2; D1; E5; F3; 0,V,Fp,"Samma som gjort Sö 198, 200, U 792. (Balle (A))",sten,sandsten,runsten,59.42672076,17.01694
Sö 208  ,Överselö kyrka,Överselö sn,Selebo hd,Strängnäs,,6589445.158,,,V,Pr3 - Pr4,Äsbjörn (A) [Källström 1997],sten,,runsten,59.42670758,17.01694
Sö 209  ,Fröberga,Överselö sn,Selebo hd,Strängnäs,,6587265.158,,"A4; B1; C1, C6, C7; D3, D5; E5; F3; 0",V,Fp,Balle (A),sten,,runsten,59.4071758,17.01694
Sö 210 $ ,Klippinge,Överselö sn,Selebo hd,Strängnäs,,6588614.158,,"A4; B2; C1, C6, C7; D5; E5, E8; F2; 0",V,Fp,Balle (S),sten,granit,runsten,59.41931343,17.01694
Sö 211  ,Ljunga,Överselö sn,Selebo hd,Strängnäs,,6587873.158,,,V,Fp,Äskil 1 (A),sten,granit,runsten,59.41269523,17.01694
Sö 212  ,Lilla Lundby,Överselö sn,Selebo hd,Strängnäs,,6585741.158,,"A4; B1; C1, C10; D5; E5; F2; 0",V,Fp,Balle (A),sten,granit,runsten,59.39359397,17.01694
Sö 213  ,Nybble,Överselö sn,Selebo hd,Strängnäs,,6591921.158,,,V,Pr3 - Pr4,Äsbjörn 1 (S),sten,granit,runsten,59.44908536,17.01694
Sö 214  ,Årby,Överselö sn,Selebo hd,Strängnäs,,6588127.158,,"A6; B1; C6, C7; D1; 0; F3; 0",V,Fp,Balle (S),sten,granit,runsten,59.41506922,17.01694
Sö 215 † ,Sorunda kyrka,Sorunda sn,Sotholms hd,Nynäshamn,,6544758.162,,A1; B2; C9; D1; E9; F3; 0,V,?,Amunde (S),sten,,runsten,59.02588721,17.95003
Sö 216 †$ ,Aska,Sorunda sn,Sotholms hd,Nynäshamn,,6549600.161,,,V,?,,sten,,fragment av runsten,59.06937402,17.95003
Sö 217  ,Berga,Sorunda sn,Sotholms hd,Nynäshamn,,6542292.162,,A5; B1; 0; D1; 0; F3; 0,V,Fp,Amunde (A),sten,gråsten,runsten,59.00381714,17.95003
Sö 218  ,Billsta,Sorunda sn,Sotholms hd,Nynäshamn,,6547806.161,,A1; B3; 0; D1; 0; F3; 0,V,Pr3,Hägvid (A),sten,,jordfast stenblock,59.05333521,17.95003
Sö 219 $ ,Blista,Sorunda sn,Sotholms hd,Nynäshamn,,6542334.162,,A4; B3; C1; D1; E1; F3; G6,V,Pr3,Hägvid (S),sten,,bergvägg,59.0042558,17.95003
Sö 220 $ ,Blista,Sorunda sn,Sotholms hd,Nynäshamn,,6542334.162,,,V,Pr3,Hägvid (S)(P),sten,,bergvägg,59.00428661,17.95003
Sö 221  ,Blista,Sorunda sn,Sotholms hd,Nynäshamn,,6542334.162,,,V,Pr3,Hägvid (S)(P),sten,,bergvägg,59.0043174,17.95003
Sö 222  ,Frölunda,Sorunda sn,Sotholms hd,Nynäshamn,,6550848.161,,,V,Pr3,,sten,,jordfast stenblock,59.08076001,17.95003
Sö 223 †$ ,Fullbro,Sorunda sn,Sotholms hd,Nynäshamn,,6548614.161,,,V,Fp,,sten,,fragment av runsten,59.0607411,17.95003
Sö 224  ,Grödby,Sorunda sn,Sotholms hd,Nynäshamn,,6549536.162,,,V,Fp,,sten,,runsten,59.06904667,17.95003
Sö 225 M? ,Grödby,Sorunda sn,Sotholms hd,Nynäshamn,,6549532.162,,A1; B1; 0; D1; 0; F3; 0,M?,Pr2,,sten,,runsten,59.06904152,17.95003
Sö 226  ,Norra Stutby,Sorunda sn,Sotholms hd,Nynäshamn,,6553129.162,,,V,Fp,Amunde (A),sten,,runsten,59.10135466,17.95003
Sö 227  ,Sundby,Sorunda sn,Sotholms hd,Nynäshamn,,6542476.161,,A4; B3; C1; D1; E1; F3; G6,V,Pr3,Hägvid (A),sten,,bergvägg,59.00577593,17.95003
Sö 228 † ,Nedre Söderby,Sorunda sn,Sotholms hd,Nynäshamn,,6547800.162,,,V,Pr3,,sten,,runsten,59.05358909,17.95003
Sö 229  ,Torp,Sorunda sn,Sotholms hd,Nynäshamn,Sundsta i Torps by.,6544000.162,,A5; B1 (B2?); C9; D1; 0; F3; 0,V,Fp,Amunde (A),sten,,runsten,59.01951494,17.95003
Sö 230  ,Torp,Sorunda sn,Sotholms hd,Nynäshamn,Sundsta i Torps by.,6544000.162,,"A1; B1; C9, C10; D1, D4; 0; F3; 0",V,Fp,Amunde (A),sten,,runsten,59.01954548,17.95003
Sö 231  ,Trollsta,Sorunda sn,Sotholms hd,Nynäshamn,,6548845.162,,A1; B1; 0; D1; 0; F3; 0,V,?,,sten,gnejs,jordfast stenblock,59.06305962,17.95003
Sö 232  ,Trollsta,Sorunda sn,Sotholms hd,Nynäshamn,,6548972.162,,"A5 ; B3; C4; D1; 0; F3; G5?, G6",V,KB,,sten,,runsten,59.06422997,17.95003
Sö 233 $ ,Trollsta,Sorunda sn,Sotholms hd,Nynäshamn,,6548978.162,,"A5; B1; C8, C9; D1; 0; F3; 0",V,Fp,Amunde (S),sten,granit,runsten,59.06431432,17.95003
Sö 234  ,Trollsta,Sorunda sn,Sotholms hd,Nynäshamn,,6548983.162,,,V,?,,sten,gråsten,runsten,59.06438968,17.95003
Sö 235  ,Västerby,Sorunda sn,Sotholms hd,Nynäshamn,,6553532.162,,,V,Pr3,Halvdan (A),sten,,fragment av runsten,59.10524702,17.95003
Sö 236  ,Alvsta,Västerhaninge sn,Sotholms hd,Haninge,,6556278.163,,A1 (A5?); B1; 0; D1; 0; F3; 0,V,?,Björn 2 eller -björn (A),sten,,jordfast stenblock,59.1299225,18.09461
Sö 237  ,Fors,Västerhaninge sn,Sotholms hd,Haninge,,6555736.163,,,V,Pr2 - Pr3,Halvdan (A),sten,,runsten,59.12508859,18.09461
Sö 238 † ,Fors,Västerhaninge sn,Sotholms hd,Haninge,,6555750.163,,A1 (A4?); B1; C8; D1; 0; F3; 0,V,?,Björn 2 eller -björn (A),sten,,runsten,59.12524467,18.09461
Sö 239  ,Häringe,Västerhaninge sn,Sotholms hd,Haninge,,6548554.163,,,V,Pr3,Halvdan (A),sten,,fragment av runsten,59.06069135,18.09461
Sö 240 $ ,Ribby,Västerhaninge sn,Sotholms hd,Haninge,,6557517.163,,A5; B1; 0; D1; 0; F2 - F3; 0,V,Fp,Amunde (A),sten,,runsten,59.14116407,18.09461
Sö 241  ,Skogs-Ekeby,Västerhaninge sn,Sotholms hd,Haninge,,6556970.163,,A1; B1; C8; D1; E6; F3; 0,V,Fp,Björn 2 eller -björn (S),sten,,runsten,59.13628517,18.09461
Sö 242  ,Stav,Västerhaninge sn,Sotholms hd,Haninge,,6554502.163,,"A5; B3; C4; D1; 0; F3; G2, G5, G6",V,KB,Björn 2 eller -björn (A),sten,,runsten,59.11416539,18.09461
Sö 243  ,Stav,Västerhaninge sn,Sotholms hd,Haninge,,6554680.163,,?; ?; ?; D1; ?; ?; ?,V,Pr3,,sten,gråsten,fragment av runsten,59.1157932,18.09461
Sö 244 $ ,Tuna,Västerhaninge sn,Sotholms hd,Haninge,,6556968.163,,"A5; B1; C6, C7; D1; 0; F3; 0",V,Pr2,Halvdan (A),sten,gråsten,runsten,59.13635811,18.09461
Sö 245  ,Tungelsta,Västerhaninge sn,Sotholms hd,Haninge,,6554826.163,,A1 (?); ?; ?; D1; E6; F3; ?,V,?,Halvdan (A),sten,gråsten,fragment av runsten,59.117164,18.09461
Sö 246  ,Vreten,Västerhaninge sn,Sotholms hd,Haninge,I parken vid Hammar.,6557104.163,,,V,?,Amunde (A),sten,gråsten,fragment av runsten,59.13763916,18.09461
Sö 247 † ,Ålsta,Västerhaninge sn,Sotholms hd,Haninge,,6556600.163,,A2; ?; ?; D1; 0; F3; ?,V,?,Halvdan (A),sten,,2 fragment av runsten,59.13314596,18.09461
Sö 248  ,Björsta,Ösmo sn,Sotholms hd,Nynäshamn,,6538185.162,,,V,Pr3,Hägvid (A),sten,,jordfast stenblock,58.96789934,17.95003
Sö 249 †$ ,Fors,Ösmo sn,Sotholms hd,Nynäshamn,På gårdsplanen vid Ogesta. Enligt senaste fornminnesinventeringen försvunnen.,6543700.162,,?; ?; ?; D1; ?; F3 - F4; ?,V,?,,sten,,fragment av runsten,59.01742763,17.95003
Sö 250 $ ,Jursta,Ösmo sn,Sotholms hd,Nynäshamn,,6544517.162,,A1; B1; C9; D1; 0; F2; 0,V,Fp,,sten,gråsten,runsten,59.02479031,17.95003
Sö 251  ,Klastorp,Ösmo sn,Sotholms hd,Nynäshamn,,6539343.162,,A5; B3; C4; D1; 0; F3; 0,V,Pr2,Östen 2 (A),sten,,runsten,58.9783824,17.95003
Sö 252 $ ,Säby,Ösmo sn,Sotholms hd,Nynäshamn,,6540047.162,,,V,Pr2 - Pr3,Halvdan (A),sten,granit,runsten,58.98473084,17.95003
Sö 253 † ,Vansta,Ösmo sn,Sotholms hd,Nynäshamn,,6540700.162,,"A1; B2; 0; D1; E3, E9; F3; 0",V,Pr3,,sten,,runsten,58.99062152,17.95003
Sö 254 $ ,Vansta,Ösmo sn,Sotholms hd,Nynäshamn,,6541464.162,,"A5; B1; C8, C9; D1; 0; F3; 0",V,Fp,Amunde (A),sten,gråsten,runsten,58.99750844,17.95003
Sö 255  ,Vidby,Ösmo sn,Sotholms hd,Nynäshamn,,6538336.162,,"A3; B3; 0; D1; E1, E9; F3; 0",V,Pr3,Hägvid (A),sten,,bergvägg,58.96946346,17.95003
Sö 256 $ ,Älby,Ösmo sn,Sotholms hd,Nynäshamn,,6539387.162,,A1; B1; 0; D1; E9; F3; 0,V,Pr1,Halvdan (A),sten,gråsten,runsten,58.97892626,17.95003
Sö 257 †$ ,Älby,Ösmo sn,Sotholms hd,Nynäshamn,,6539387.162,,,V,?,,sten,,runsten,58.97895596,17.95003
Sö 258 $ ,Älby,Ösmo sn,Sotholms hd,Nynäshamn,,6539421.162,,A1; B3; 0; D1; E4; F3; 0,V,Fp,Björn 2 eller -björn (A),sten,,runsten,58.97929079,17.95003
Sö 259  ,Alby,Österhaninge sn,Sotholms hd,Haninge,På Österhaninge nya kyrkogård.,6559454.164,,,V,?,,sten,,fragment av runsten,59.15912065,18.09461
