Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U Fv2012;60 † ,Vaksala kyrka,Vaksala sn,Vaksala ,Uppsala,,6641117.161,,,V,,,sten,,fragment av runsten,59.89001034,,59.8586,17.6389,59.89001034,17.6389
U HG1989;44 U ,Rickeby,Vallentuna sn,Vallentuna ,Vallentuna,SHM,6603925.163,"j-runan har korsad huvudstav, k-runan fullhöjd i vikingatida form, z-runan stupad",,U 600-700 (Imer 2007),,,ben/horn,hjorthorn,fragment av speltärning,59.55624042,,59.5342,18.0771,59.55624042,18.0771
U KVHAAÅ2008;214 $ ,Gamla Uppsala kyrka,Gamla Uppsala sn (nu Uppsala),Vaksala ,Uppsala,,6643646.16,,,V/M 1000-1200-tal,,,ben/horn,ben,"runben, revben",59.91263785,,59.8586,17.6389,59.91263785,17.6389
U L1887 $ ,Uppsala,Uppsala,,Uppsala,Museum Gustavianum (UUMF0317),6639100.16,,,V?,,,sten,sten,stenyxa,59.87181366,,59.8586,17.6389,59.87181366,17.6389
U MK1998;49  ,Igelbäcken,Järfälla sn,Sollentuna ,Järfälla,SHM (26024),6590772.162,,,V,,,metall,silver,platta,59.43811222,,59.414,17.8354,59.43811222,17.8354
U NOR1994;26A  ,Alsnö hus,Adelsö sn,Färentuna ,Ekerö,SHM (35224),6583425.16,,,V,,,metall,brons,bleck (amulett),59.37214898,,59.2975,17.8142,59.37214898,17.8142
U NOR1994;26B M ,Uppsala,Uppsala,,Uppsala,SHM (34030),6639150.16,,,M 1200-1400-t,,,metall,bly,"bleck (amulett), fragment",59.87216411,,59.8586,17.6389,59.87216411,17.6389
U NOR1996;17A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V,,,metall,koppar,myntliknande föremål,59.62940507,,59.6165,17.7235,59.62940507,17.7235
U NOR1996;17B $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1200-t,,,ben/horn,ben,"runben, revben",59.63026991,,59.6165,17.7235,59.63026991,17.7235
U NOR1996;17C  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M,,,ben/horn,ben,"runben, revben",59.63023737,,59.6165,17.7235,59.63023737,17.7235
U NOR1996;17D M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t - b 1200-t,,,ben/horn,ben,"runben, revben",59.6302048,,59.6165,17.7235,59.6302048,17.7235
U NOR1996;18A M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t - b 1200-t,,,ben/horn,ben,"runben, revben",59.6301722,,59.6165,17.7235,59.6301722,17.7235
U NOR1996;18B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,gris,skulderblad,59.63013956,,59.6165,17.7235,59.63013956,17.7235
U NOR1996;18C $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.6301069,,59.6165,17.7235,59.6301069,17.7235
U NOR1996;18D M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,"a-runan i futharken spegelvänd, o-runan har dubbelsidig bistav",,M 1100-t - b 1200-t,,,ben/horn,ben,"runben, revben",59.63007421,,59.6165,17.7235,59.63007421,17.7235
U NOR1996;18E M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,f-runan spegelvänd,,M 1100-t - b 1200-t,,,ben/horn,ben,"runben, revben",59.63004149,,59.6165,17.7235,59.63004149,17.7235
U NOR1996;18F  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612350.161,,,V,,,sten,rödbrun sandsten,fragment av runsten,59.63135474,,59.6165,17.7235,59.63135474,17.7235
