Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
DR EM85;516J M ,Aggersborgs kirke,Aggersborg sn,"Øster Han hd, Nørrejylland",Vesthimmerland,På långhusets nordvägg.,(56.99731 ; 9.25408),,,M,,,puts,kalkputs,putsinskrift,56.99731,9.25408
DR EM85;516K M ,Aggersborgs kirke,Aggersborg sn,"Øster Han hd, Nørrejylland",Vesthimmerland,På långhusets nordvägg.,(56.99731 ; 9.25408),,,M,,,puts,kalkputs,putsinskrift,56.99731,9.25408
DR EM85;522 M ,Egvad kirke,Egvad sn,"Nørre Horne hd, Nørrejylland",Ringkøbing-Skjern,I kyrkans takkonstruktion.,(55.88543 ; 8.52486),,,M,,,trä,trä,träinskrift,55.88543,8.52486
DR EM85;523A †$M ,Eltangs kirke,Eltang sn,"Brusk hd, Nørrejylland",Kolding,,(55.54096 ; 9.51790),,,M,,,puts,kalkputs,putsinskrift,55.54096,9.5179
DR EM85;523B $ ,Farsø kirke,Farsø sn,"Gislum hd, Nørrejylland",Vesthimmerland,I kyrkans vapenhus.,(56.77420 ; 9.33918),,,V,,,sten,,runsten,56.7742,9.33918
DR EM85;524 M ,Gammelsogns kirke,Gammelsogn sn,"Hind hd, Nørrejylland",Ringkøbing-Skjern,I kyrkans takkonstruktion.,(56.09895 ; 8.20826),,,M,,,trä,ek,träinskrift,56.09895,8.20826
DR EM85;528 M ,Hvidings kirke,Hviding sn,"Hviding hd, Sønderjylland",Esbjerg,I kyrkans takkonstruktion.,(55.26200 ; 8.68466),,,M,,,trä,ek,träinskrift,55.262,8.68466
DR EM85;531 $ ,Lems kirke,Lem sn,"Støvring hd, Nørrejylland",Randers,I kyrkportalen.,(56.50362 ; 10.06261),,,V,,,sten,granit,runsten,56.50362,10.06261
DR EM85;533A $M ,"Lund, kv. S:t Clemens 9",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:468),6177875.134,,,M,,,ben/horn,ben,runben [28],6177875.134,
DR EM85;533B M ,"Lund, kv. S:t Clemens 9",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1012),6177875.134,,,M,,,ben/horn,ben,runben [29],6177875.134,
DR EM85;533C M ,"Lund, kv. S:t Clemens 9",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1216),6177875.134,,,M,,,ben/horn,ben,runben [30],6177875.134,
DR EM85;533D M ,"Lund, kv. S:t Clemens",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1502),6177875.134,,,M,,,ben/horn,ben,runben [31],6177875.134,
DR EM85;533E M ,"Lund, kv. S:t Clemens",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1524),6177875.134,,,M,,,ben/horn,ben,runben [32],6177875.134,
DR EM85;533F M ,"Lund, kv. S:t Clemens",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1524),6177875.134,,,M,,,ben/horn,ben,runben [32a],6177875.134,
DR EM85;533G M ,"Lund, kv. S:t Clemens",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1583),6177875.134,,,M,,,ben/horn,ben,runben [33],6177875.134,
DR EM85;533H M ,"Lund, kv. S:t Clemens",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 71839:1616),6177875.134,,,M,,,ben/horn,ben,runben [34],6177875.134,
DR EM85;534 M ,"Lund, kv. Apotekaren 4",Lund,Skåne,Lund,Lunds kulturhistoriska museum (KM 70361:137),6178025.134,,,M,,,trä,trä,laggskålsbotten [1],6178025.134,
DR EM85;537A M ,Odense,Odense,"Odense hd, Fyn",Odense,Nationalmuseet (D 416/1978),,,,M,,,sten,sandsten,vävvikt(?),,
DR EM85;537B M ,Ravsteds kirke,Ravsted sn,"Slogs hd, Sønderjylland",Aabenraa,I kyrkans takkkonstruktion.,(55.00920 ; 9.12610),,,M,,,trä,trä,träinskrift,55.0092,9.1261
DR EM85;538A M ,"S:t Jørgensbjergs kirke, Roskilde",Roskilde,"Sømme hd, Sjælland",Roskilde,Vid kyrkans igenmurade norra dörr.,(55.64948 ; 12.07526),,,M,,,puts,kalkputs,putsinskrift,55.64948,12.07526
DR EM85;538B M ,"S:t Jørgensbjergs kirke, Roskilde",Roskilde,"Sømme hd, Sjælland",Roskilde,I triumfmurens östsida mot norr.,(55.64948 ; 12.07526),,,M,,,puts,kalkputs,putsinskrift,55.64948,12.07526
DR EM85;539A  ,Sjellebro,Lime sn,"Sønderhald hd, Nørrejylland",Syddjurs,,(56.4038137285276 ; 10.2412019880981),,,V,,,sten,granit,ristad sten,56.40381373,10.24120199
DR EM85;539B M ,Skellerups kirke,Skellerup sn,"Vindinge hd, Nørrejylland",Nyborg,På korets nordvägg.,(55.34184 ; 10.65822),,,M,,,puts,kalkputs,putsinskrift,55.34184,10.65822
DR EM85;541A M ,Staby kirke,Staby sn,"Ulfborg hd, Nørrejylland",Holstebro,Vid kyrkans norddörr.,(56.26160 ; 8.23657),,,M,,,sten,granit,kvadersten,56.2616,8.23657
DR EM85;541B M ,Stenløse kirke,Stenløse sn,"Ølstykke hd, Sjælland",Egedal,I norra tornbågen.,(55.76725 ; 12.19779),,,M 1100-1300,,,puts,kalkputs,putsinskrift,55.76725,12.19779
DR EM85;547 M? ,Ølgod,Ølgod sn,"Øster Horne hd, Nørrejylland",Varde,Ølgod museum (1268/5791),,,,M?,,,sten,,runsten,,
DR EM85;549A M ,Östra Vemmerlövs kyrka,Östra Vemmerlövs sn,"Järestads hd, Skåne",Simrishamn,,6162225.14,,,M,,,puts,kalkputs,putsinskrift,6162225.14,
DR EM85;549B M ,Östra Vemmerlövs kyrka,Östra Vemmerlövs sn,"Järestads hd, Skåne",Simrishamn,,6162225.14,,,M,,,puts,kalkputs,putsinskrift,6162225.14,
DR EM85;549C M ,Östra Vemmerlövs kyrka,Östra Vemmerlövs sn,"Järestads hd, Skåne",Simrishamn,,6162225.14,,,M,,,puts,kalkputs,putsinskrift,6162225.14,
DR EM85;550 $M ,Ålborg,Ålborg,"Fleskum hd, Nørrejylland",Aalborg,Ålborgs museum (624x1),,,,M,,,ben/horn,ben,runben,,
DR ATA5000/45 U? ,Vä,Vä sn,"Gärds hd, Skåne",Kristianstad,Lunds universitets historiska museum,6208500.139,,,U? (oviss datering),,,metall,,runbleck (amulett),6208500.139,
DR ATA4150/83 M ,Åhus kyrka,Åhus sn,"Villands hd, Skåne",Kristianstad,På utsidan av portalomfattningen.,6200451.141,,,M,,,puts,kalkputs,putsinskrift,6200451.141,
DR ATA411-5119-1998 M ,"Åhus, kv. Skatan",Åhus sn,"Villands hd, Skåne",Kristianstad,Åhus museum,6200300.141,,,M,,,ben/horn,ben,"runben, revben",6200300.141,
DR ATA322-1227-2007 M ,Hardeberga kyrka,Hardeberga sn,"Torna hd, Skåne",Lund,"På långhusets norra vägg, öster om fönster",6177163.134,,,M,,,puts,kalkputs,putsinskrift,6177163.134,
DR ATA322-1309-2007 M ,Lockarps bytomt,Lockarps sn,"Oxie hd, Skåne",Malmö,Malmö Kulturmiljö,6160350.133,,,M,,,metall,bly,bleck (amulett),6160350.133,
DR ATA322-1866-2012A M ,Örja by,Örja sn,"Rönnebergs hd, Skåne",Landskrona,,6198600.132,,,M 1100-t,,,metall,bly,runbleck,6198600.132,
DR ATA322-1866-2012B M ,Örja by,Örja sn,"Rönnebergs hd, Skåne",Landskrona,,6198600.132,,,M 1100-t,,,metall,koppar,runbleck,6198600.132,
DR AUD1988;205A M ,"Tårnborg, Tårnborggård",Tårnborg sn,"Slagelse hd, Sjælland",Slagelse,Nationalmuseet (D 1/1988),(55.3495025390451 ; 11.1922707778488),,,M 1250-1425,,,metall,bly,amulett [2],55.34950254,11.19227078
DR AUD1988;205B M ,"Tårnborg, Tårnborggård",Tårnborg sn,"Slagelse hd, Sjælland",Slagelse,Nationalmuseet (D 2/1988),(55.3495025390451 ; 11.1922707778488),,,M 1250-1425,,,metall,bly,amulett [3],55.34950254,11.19227078
DR AUD1988;205C M ,Karlstrup kirke,Karlstrup sn,"Tune hd, Sjælland",Solrød,I korets sydvägg.,(55.55760 ; 12.20390),,,M ca 1250-1300,,,puts,kalkputs,putsinskrift,55.5576,12.2039
DR AUD1988;205D M ,Karlstrup kirke,Karlstrup sn,"Tune hd, Sjælland",Solrød,I korets nordvägg.,(55.55760 ; 12.20390),,,M ca 1250-1300,,,puts,kalkputs,putsinskrift,55.5576,12.2039
DR AUD1988;205E M ,Karlstrup kirke,Karlstrup sn,"Tune hd, Sjælland",Solrød,"I korets nordvägg, överkalkad.",(55.55760 ; 12.20390),,,M ca 1250-1300,,,puts,kalkputs,putsinskrift,55.5576,12.2039
DR AUD1988;205F M ,Karlstrup kirke,Karlstrup sn,"Tune hd, Sjælland",Solrød,I koret mellan fönster och nordvägg.,(55.55760 ; 12.20390),,,M 1200-1300,,,puts,kalkputs,putsinskrift,55.5576,12.2039
DR AUD1989;222  ,"Oksby, Hvidbjerg strand",Oksby sn,"Vester Horne hd, Nørrejylland",Varde,Nationalmuseet (D 310/1989),(55.5427710885329 ; 8.13320187018884),,,V? sen vikingatid el. tidig medeltid,,,ben/horn,hjorthorn,klämma för kamtillverkning,55.54277109,8.13320187
DR AUD1992;259 M ,"Glim, Øm",Glim sn,"Sømme hd, Sjælland",Lejre,"Nationalmuseet (D 206/1992), dep. Roskilde museum (j. nr. 1388/92)",(55.5985930869811 ; 12.0139184408776),,,M,,,metall,bly,"amulett, korsfragment(?)",55.59859309,12.01391844
DR AUD1992;260 M? ,"Sottrup, stranden vid Snogbæk Skov",Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (D 148/1992),(54.978739286151 ; 9.73997051445186),,,M ev. renässans,,,sten,sten,amulett,54.97873929,9.739970514
DR AUD1992;261 $SENTIDA ,"Kegnæs, Hjortholm",Kegnæs sn,"Als Sønder hd, Sønderjylland",Sønderborg,Nationalmuseet(?),,,,Sentida?,,,sten,sandsten,fragment av slipsten,,
DR AUD1993;261  ,"Sct. Nikolajgade, Ribe",Ribe,"Ribe hd, Nørrejylland",Esbjerg,Den antikvariske samling i Ribe.,(55.329 ; 8.768),,,V ca 800-850,,,ben/horn,valben,platta,55.329,8.768
DR AUD1993;263 M ,Allindemagle,Allindemagle sn,"Ringsted hd, Sjælland",Ringsted,Nationalmuseet (D 42/1993),(55.5095925933315 ; 11.7275622675554),,,M,,,metall,bly,amulett,55.50959259,11.72756227
DR AUD1993;265 M ,"Høje Taastrup, kirkegården",Høje Tåstrup sn,"Smørum hd, Sjælland",Høje-Taastrup,Nationalmuseet (D 414/1993),(55.6515726825305 ; 12.261194295364),kortkvist-s,,M,,,metall,bly,"liten remsa, amulett",55.65157268,12.2611943
DR AUD1993;266 M ,Vokslev,Vokslev sn,"Hornum hd, Nørrejylland",Aalborg,Nationalmuseet (D 29/1993),(56.9845342589406 ; 9.66247835590045),,,M senmedeltid,,,metall,bly,"amulett, ihopvikt stycke",56.98453426,9.662478356
DR AUD1993;267 M ,"Randers, Brødregade 25",Randers sn,"Støvring hd, Nørrejylland",Randers,"Kulturhistorisk museum, Randers",(56.4584945852857 ; 10.0383024023377),,,M 1200-1400,,,metall,bly,amulett,56.45849459,10.0383024
DR AUD1993;268 M ,"Tårnborg, Tårnborggård",Tårnborg sn,"Slagelse hd, Sjælland",Slagelse,Nationalmuseet (D 144/1993),(55.3495025390451 ; 11.1922707778488),,,M,,,metall,bly,trekantigt blystycke [4],55.34950254,11.19227078
DR AUD1994;266 U ,Nydam Engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (217x4919),(54.9635770450739 ; 9.72533819375509),,,U 310/320-375/400 (Imer 2007),,,trä,trä,pilskaft,54.96357705,9.725338194
DR AUD1994;269A M ,Karlstrup kirke,Karlstrup sn,"Tune hd, Sjælland",Solrød,"Invändigt i tornets nordmur, första våningen.",(55.55760 ; 12.20390),,,M,,,sten,krita,kvadersten,55.5576,12.2039
DR AUD1994;269B M ,"Gamle Køgegård, Køge",Køge sn,"Ramsø hd, Sjælland",Køge,"Nationalmuseet (D 410/1994), dep. Køge Museum (j. nr. 652).",(55.4615670109325 ; 12.1654929011741),,,M,,,metall,bly,amulett,55.46156701,12.1654929
DR AUD1995;275 $U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (NV 15711),(54.9635770450739 ; 9.72533819375509),,,U 250/260-310/320 (Imer 2007),,,metall,brons,beslag till svärdslida,54.96357705,9.725338194
DR AUD1995;277 U ,Kalmergården,Store Fuglede sn,"Ars hd, Sjælland",Kalundborg,Nationalmuseet (KN 0808),,,,U 630-675/700 (Imer 2007),,,metall,brons (förtennat),fragment av fibula,,
DR AUD1995;279  ,Borup kirke,Borup sn,"Støvring hd, Nørrejylland",Randers,I vapenhuset.,(56.504900649772 ; 9.98538522353322),,,V ca 1000,,,sten,granit/gnejs,runsten,56.50490065,9.985385224
DR AUD1995;281  ,Højbro Plads,København,"København, Sjælland",København,"Københavns Bymuseum (Museumsnr. KBM 1213, ZKx589.) Nationalmuseet (D 23/1996)",(55.6783380602009 ; 12.5796973742707),,,V 1050-1100 (arkeologisk datering),,,ben/horn,ben,fragment av nål,55.67833806,12.57969737
DR AUD1995;283 M ,Hjultorvet,Viborg,"Nørlyng hd, Nørrejylland",Viborg,Viborg Stiftsmuseum (Museumsnr. 804 E 58),(56.4499125988193 ; 9.40852450646472),,,M,,,metall,bly,bleck (amulett),56.4499126,9.408524506
DR AUD1995;284 M ,Selsø (Vestby),Selsø sn,"Horns hd, Sjælland",Frederikssund,"Færgegården Egnsmuseum (Museumsnr. MFG 56x260, Nationalmuseet Inv. nr. D 24/1996) ",(55.7460587041915 ; 12.0078970600261),,,M,,,metall,bly,bleck (amulett),55.7460587,12.00789706
DR AUD1996;272 U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (Museumsnr. C 535 Nydam 217x8482),(54.9603868861657 ; 9.72682690129138),,,U 450-475 (Imer 2007),,,trä,ask,lansskaft,54.96038689,9.726826901
DR AUD1996;274  ,Bjerring kirke,Bjerring sn,"Middelsom hd, Nørrejylland",Viborg,I vapenhuset.,(56.3789772224784 ; 9.62235313092585),,,"V (950-1000, typologisk datering)",,,sten,rödaktig granit,runsten,56.37897722,9.622353131
DR AUD1996;276 $ ,Store Gadegård,Pedersker sn,"Sønder hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. Nationalmuseet D 29/1997),(55.0341959058008 ; 14.9650317908724),,,V,,Förmodligen samma som gjort DR AUD1998;302,metall,bly,bleck (amulett),55.03419591,14.96503179
DR AUD1996;278 M ,Møllebjerg,Rutsker sn,"Nørre hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. Nationalmuseet D 28/1997),(55.2064277296432 ; 14.766824731855),,,M,,,metall,bly,bleck (amulett),55.20642773,14.76682473
DR AUD1997;259 U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (Museumsnr. C 535 Nydam 217x14085),(54.9603868861657 ; 9.72682690129138),,,U 310/320-375/400 (Imer 2007),,,metall,silver,remändebeslag,54.96038689,9.726826901
DR AUD1997;261 U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (Museumsnr. C 535 Nydam 217x14185),(54.9603868861657 ; 9.72682690129138),,,U 310/320-375/400 (Imer 2007),,,sten,jet,svärdspärla,54.96038689,9.726826901
DR AUD1997;264  ,Roskilde Havn ved Vikingeskibshallen,Roskilde,"Sømme hd, Sjælland",Roskilde,"Roskilde Museum (Museumsnr. Nationalmuseet 190/97, NMU 1482)",(55.6502710074091 ; 12.0789094172665),,,"V (efter 1025, dendrokronologisk datering)",,,trä,pilträ,pinne,55.65027101,12.07890942
DR AUD1998;299  ,Borgruinen i Vordingborg,Vordingborg,"Vordingborg, Sjælland",Vordingborg,Sydsjællands Museum Vordingborg,(55.0077052919467 ; 11.9109417655343),,,V?,,,ben/horn,ben,"runben, revben, fragment",55.00770529,11.91094177
DR AUD1998;300 M? ,Munkegård,Ibsker sn,"Øster hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. Nationalmuseet D 183/1998),(55.1040302611711 ; 15.1229930069329),,,"M? sen medeltid, eller ännu yngre",,,metall,brons,platta (amulett),55.10403026,15.12299301
DR AUD1998;301 M ,Glamsbjerg,Køng sn,"Båg hd, Fyn",Assens,Nationalmuseet (Museumsnr. D 13567),,,,M högmedeltid,,,sten,alabaster (oren),amulett,,
DR AUD1998;302 $ ,Store Gadegård,Pedersker sn,"Sønder hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. Nationalmuseet D 35/1998),(55.0341959058008 ; 14.9650317908724),,,V,,Förmodligen samma som gjort DR AUD1996;276,metall,bly,bleck (amulett),55.03419591,14.96503179
DR AUD1999;285 U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (Museumsnr. C 535 Nydam 217x14711),(54.9603868861657 ; 9.72682690129138),,,U 450-475 (Imer 2007),,,trä,ask,lansskaft,54.96038689,9.726826901
DR AUD1999;286 U ,Nydam engmose,Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Nationalmuseet (Museumsnr. C 535 Nydam 217x15015),(54.9603868861657 ; 9.72682690129138),,,U 450-475 (Imer 2007),,,trä,ask,lansskaft,54.96038689,9.726826901
DR AUD1999;288 $ ,Englyst,Østermarie sn,"Øster hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. BMR 2320 x 14. Nationalmuseet D10/2000),(55.1497990640018 ; 14.9948304014808),,,V/M 1000-1200? (Imer 2007),,,metall,silver,amulett,55.14979906,14.9948304
DR AUD2001;252 M ,"Hedegade, Roskilde",Roskilde,"Sømme hd, Sjælland",Roskilde,Roskilde Museum (Museumsnr. ROM 2103),(55.6431680679229 ; 12.0749976607083),,,M,,,metall,bly,blypinne (amulett),55.64316807,12.07499766
DR AUD2001;255 M ,Jættebrovej/Bækkeskov,Østermarie sn,"Øster hd, Bornholm",Bornholm,"Bornholms Museum (Museumsnr. BRM 915x33, Nationalmuseet D 1074/2001)",(55.143361972478 ; 15.0686298718556),,,M,,,metall,bly,bleck (amulett),55.14336197,15.06862987
DR DKBh21 M ,Kællingeby,Pedersker sn,"Sønder hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. BMR 2607x33. Nationalmuseet Inv. nr D 916/2004),(55.0519830963691 ; 15.0128057678923),,,M,,,metall,bly,amulett,55.0519831,15.01280577
DR DKBh22 M ,Kællingeby,Pedersker sn,"Sønder hd, Bornholm",Bornholm,Bornholms Museum (Museumsnr. BMR 2607x34. Nationalmuseet Inv. nr D 917/2004),(55.0519830963691 ; 15.0128057678923),,,M,,,metall,bly,amulett,55.0519831,15.01280577
DR DKBh62 M ,Kastelsbakke,Åker sn,"Sønder hd, Bornholm",Bornholm,Nationalmuseet. Inv. nr D 285/2007,(55.0695762960916 ; 14.970468739623),,,M,,,metall,bly,amulett,55.0695763,14.97046874
DR DKBh63  ,Skørrebrovej,Vester Marie sn,"Vester hd, Bornholm",Bornholm,Nationalmuseet. Inv. nr D 199/2006,(55.0920151917253 ; 14.9001805567029),,,V 1000-1150,,,metall,brons,amulett,55.09201519,14.90018056
DR DKBh64 M ,Munkegård,Povlsker sn,"Sønder hd, Bornholm",Bornholm,"Nationalmuseet D 200/2006, deponerat på Bornholms museum",(55.0014319766184 ; 15.053495214219),,,M,,,metall,bly,amulett,55.00143198,15.05349521
DR DKBh65 M ,Åker,Åker sn,"Sønder hd, Bornholm",Bornholm,"Runegaard, Bornholm",,,,M,,,sten,sten,yxa (amulett),,
DR DKBh66  ,Sønderhøj Nord,Ibsker sn,"Øster hd, Bornholm",Bornholm,Nationalmuseet D 145/2010,(55.1274490619152 ; 15.1132022526947),runliknande tecken,,V/M 1000-1200,,,metall,brons,amulett,55.12744906,15.11320225
DR DKBh67 M ,Østre Skovgård,Åker sn,"Sønder hd, Bornholm",Bornholm,"Nationalmuseet D160/2010, deponeras på Bornholms museum",(55.0628474511253 ; 15.0060300765122),,,M,,,metall,bly,amulett,55.06284745,15.00603008
DR DKBh68 M ,Munkegård,Ibsker sn,"Øster hd, Bornholm",Bornholm,Nationalmuseet D271/2010,(55.1040302611711 ; 15.1229930069329),,,M,,,metall,bly,kors,55.10403026,15.12299301
DR DKSj8 M ,Dronningholm,Kregme sn,"Strø hd, Sjælland",Halsnæs,,(55.9703315755075 ; 12.0569317915318),,,M 1175-1300,,,övrigt,tegel,tegelsten,55.97033158,12.05693179
DR DKSj15 M ,Nørre Dalby kirke,Nørre Dalby sn,"Ramsø hd, Sjælland",Køge,I kyrktornets östra vägg.,(55.48050 ; 11.99910),,,M,,,sten,kalksten,kvadersten,55.4805,11.9991
DR DKSj24  ,Hjortholm,Sorgenfri sn,"Sokkelund hd, Sjælland",Lyngby-Tårbæk,Nationalmuseet (D 21/1957),(55.785 ; 12.44),,,V (1000-1100),,,metall,brons,amulett,55.785,12.44
DR DKSj51 †M ,Kvanløse kirke,Kvanløse sn,"Merløse hd, Sjælland",Holbæk,"På långhusets norra vägg i hörnet under det stora krucifixet, övermålat.",(55.65220 ; 11.66900),,,M 1150-1350,,,puts,kalkputs,putsinskrift,55.6522,11.669
DR DKSj58 †M ,Skamstrup kirke,Skamstrup sn,"Tuse hd, Sjælland",Holbæk,"På kyrkans nordvägg, V om igenmurad dörr.",(55.62100 ; 11.48880),,,M 1150-1350,,,puts,kalkputs,putsinskrift,55.621,11.4888
DR DKSj61 M ,Fjenneslev,Fjenneslev sn,"Alsted hd, Sjælland",Sorø,Sorø museum.,(55.4341675542612 ; 11.6883960619299),,,M 1100-1350,,,sten,krita/kalksten,kvadersten,55.43416755,11.68839606
DR DKSj94 M ,Sigersted kirke,Sigersted sn,"Ringsted hd, Sjælland",Ringsted,Nationalmuseet. Inv. nr D 957/2004,(55.4297519652485 ; 11.7322799457461),,,M,,,metall,bly,amulett,55.42975197,11.73227995
DR DKSj95 M ,Jørlunde Øst,Jørlunde sn,"Lynge-Frederiksborg hd, Sjælland",Egedal,Nationalmuseet. Inv. nr D 212/2007,(55.8327293111919 ; 12.1824871643696),,,M,,,metall,bly,amulett,55.83272931,12.18248716
DR DKSj96 M ,Selsø,Selsø sn,"Horns hd, Sjælland",Frederikssund,Nationalmuseet. Inv. nr D 15/2008,(55.7460587041915 ; 12.0078970600261),,,M,,,metall,bly,amulett,55.7460587,12.00789706
DR DKSj97  ,Lejre,Allerslev sn,"Voldborg hd, Sjælland",Lejre,,,,,V/M,,,ben/horn,ben,runben,,
DR DKSj98  ,Trelleborg,Hejninge sn,"Slagelse hd, Sjælland",Slagelse,Sydvestsjællands Museum (x103),(55.3941008617845 ; 11.2652815930303),,,V,,,trä,bok,pinne,55.39410086,11.26528159
DR DKSj99 M ,Borren,Højby sn,"Ods hd, Sjælland",Odsherred,Odsherreds Kulturhistoriske Museum (D 158/2010),(55.9217146851643 ; 11.6076240478719),,,M 1100-1400,,,metall,bly,amulett,55.92171469,11.60762405
DR DKSj100 M ,Vrangstrup,Vrangstrup sn,"Tybjerg hd, Sjælland",Næstved,"Nationalmuseet (D 119/2011), dep på Næstved Museum.",(55.4011017005147 ; 11.7232644750426),,,M,,,metall,bly,amulett,55.4011017,11.72326448
DR DKSj101 M ,Vrangstrup,Vrangstrup sn,"Tybjerg hd, Sjælland",Næstved,"Nationalmuseet (D 120/2011), dep på Næstved Museum.",(55.4011017005147 ; 11.7232644750426),,,M,,,metall,bly,amulett,55.4011017,11.72326448
DR DKSj102 M ,Vrangstrup,Vrangstrup sn,"Tybjerg hd, Sjælland",Næstved,"Nationalmuseet (D 120/2011), dep på Næstved Museum.",(55.4011017005147 ; 11.7232644750426),,,M,,,metall,bly,amulett,55.4011017,11.72326448
DR DKSj103 U/V ,Vester Egesborg,Vester Egesborg sn,"Hammer hd, Sjælland",Næstved,Næstved Museum (A6x25 och x26),(55.1495401202614 ; 11.8131879977577),,,U/V 600-800,,,ben/horn,ben eller horn,kamfragment,55.14954012,11.813188
DR DKSj104 M ,"Konventhuset, Roskilde",Roskilde,"Sømme hd, Sjælland",Roskilde,Roskilde Museum (2509X127),(55.6431136218574 ; 12.0814631001651),,,M,,,metall,bly,amulett,55.64311362,12.0814631
DR DKSj106 M ,Vrangstrup,Vrangstrup sn,"Tybjerg hd, Sjælland",Næstved,Nationalmuseet (D 174/2013),(55.4011017005147 ; 11.7232644750426),,,M,,,metall,bly,amulett,55.4011017,11.72326448
DR DKSj107 M ,Vrangstrup,Vrangstrup sn,"Tybjerg hd, Sjælland",Næstved,Nationalmuseet (D 175/2013),(55.4011017005147 ; 11.7232644750426),,,M,,,metall,bly,amulett,55.4011017,11.72326448
DR DKSyd8 M ,Dannemare kirke,Dannemare sn,"Lollands Sønder hd, Lolland-Falster",Lolland,Nationalmuseet (D 3573c),(54.76180 ; 11.18910),,,M 1175-1225,,,övrigt,tegel,tegelsten,54.7618,11.1891
DR DKSyd14 M ,Halsted skole,Halsted sn,"Lollands Nørre hd, Lolland-Falster",Lolland,Nationalmuseet (D7/2011),(54.8504970004981 ; 11.2253474262044),,,M,,,metall,bly,amulett,54.850497,11.22534743
DR DKSyd15 M ,Søllested kirke,Søllested sn,"Lollands Sønder hd, Lolland-Falster",Lolland,Nationalmuseet (D57/2011),(54.8186421096266 ; 11.2685641394832),,,M,,,metall,brons,amulett,54.81864211,11.26856414
DR DKSyd16 M ,Nørre Vedby Gammelby,Nørre Vedby sn,"Falsters Nørre hd, Lolland-Falster",Guldborgsund,"Nationalmuseet (D28/2011), dep på Museum Lolland Falster.",(54.9092548713739 ; 11.8379657716644),,,M,,,metall,bly,amulett,54.90925487,11.83796577
DR DKSyd17 M ,Dyrehavegård,Halsted sn,"Lollands Nørre hd, Lolland-Falster",Lolland,Nationalmuseet (D448/2014),(54.8460695914795 ; 11.2543517497981),flera redrunor är stupade,,M,,,metall,bly,amulett,54.84606959,11.25435175
DR DKFyn15 M ,Brændekilde,Brændekilde sn,"Odense hd, Fyn",Odense,Odense Bys Museer (FS 3725),,,,M eller sentida,,,sten,sten,yxa (amulett),,
DR DKFyn27 M ,Veflinge kirke,Veflinge sn,"Skovby hd, Fyn",Nordfyn,"På kyrkans nordvägg, 109 cm över golvet.",(55.4790947202706 ; 10.1605555207507),,,M 1100-1300,,,puts,kalkputs,putsinskrift,55.47909472,10.16055552
DR DKFyn28 M ,Rugård,Veflinge sn,"Skovby hd, Fyn",Nordfyn,Odense Bys Museer (FS B 2323),(55.446170536478 ; 10.1178833850572),,,M,,,sten,sten,yxa (amulett),55.44617054,10.11788339
DR DKFyn32 U ,Gudme,Gudme sn,"Gudme hd, Fyn",Svendborg,Nationalmuseet (C 36502),(55.1458241323182 ; 10.7135071932015),,,U 210/220-375/400,,,metall,silver,sköldbucklebeslag,55.14582413,10.71350719
DR DKFyn51  ,Faaborg,Diernæs sn,"Sallinge hd, Fyn",Faaborg-Midtfyn,Faaborg Kulturhistoriske Museer. Nationalmuseet (C 37114),(55.0822571238545 ; 10.2779534434797),,,V 700-900,,,sten,granit,runsten,55.08225712,10.27795344
DR DKNJy76  ,Sofiendal,Hasseris sn,"Hornum hd, Nørrejylland",Aalborg,Nationalmuseet  (C 34079),(57.0204465447743 ; 9.88061565352491),,,V 775-810,,,metall,brons,beslag,57.02044654,9.880615654
