Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
N KJ76 U ,Opedal,Ullensvang sn,Hordaland fylke,Ullensvang,Bergen museum (B13741),,,,U 160-375/400 (Imer 2007),,,sten,glimmerskiffer,runsten,,
N KJ77 U ,Myklebostad,Vistdal sn,Møre og Romsdal fylke,Nesset,"Oldsaksamlingen (14436, 17792)",,,,U 375/400-560/570 (Imer 2007),,,sten,gnejs,runsten,,
N KJ78 U ,Bø,Sokndal sn,Rogaland fylke,Sokndal,Oldsaksamlingen (C.3817),,,,U 160-560/570 (Imer 2007),,,sten,granit,runsten,,
N KJ79 U ,Tomstad,Lista sn,Vest-Agder fylke,Farsund,Oldsaksamlingen (3727),,,,U 160-560/570 (Imer 2007),,,sten,gnejs,runsten,,
N KJ81 U ,Stenstad,Helgen sn,Telemark fylke,Nome,"Julianehøj, Jægerspris (8031), Sjælland, Danmark",(59.2547 ; 9.3904),,,U 375/400-460/470 (Imer 2007),,,sten,kvartsit,runsten,59.2547,9.3904
N KJ82 †$U ,Saude,Sauherad og Nes sn,Telemark fylke,Sauherad,,,,,U 160-560/570 (Imer 2007),,,sten,,runsten,,
N KJ83 U ,Belland,Austad sn,Vest-Agder fylke,Lyngdal,Oldsaksamlingen (C.17797),,,,U 375/400-520/530 (Imer 2007),,,sten,granit,runsten,,
N KJ84 U ,Amla,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,"Heibergske samlinger, Sogn folkemuseum, Kaupanger",(61.18072 ; 7.2669),,,U 160-560/570 (Imer 2007),,,sten,granit,runsten,61.18072,7.2669
N KJ88 U ,Møgedal,Helleland sn,Rogaland fylke,Eigersund,Stavanger museum (374),,,,U 160-560/570 (Imer 2007),,,sten,granit,runsten,,
N KJ89 U ,Tanem,Klæbu sn,Sør-Trøndelag fylke,Klæbu,Oldsaksamlingen (3613),,,,U 160-375/400 (Imer 2007),,,sten,glimmerskiffer,runsten,,
N KJ90 U ,Sunde,Kinn sn,Sogn og Fjordane fylke,Flora,Bergen museum (B9594),,,,U 375/400-560/570 (Imer 2007),,,sten,grön sandsten,runsten,,
N KJ91 U ,Tørvika,Jondals sn,Hordaland fylke,Jondal,Bergen museum (B3542E),,,,U 375/400-560/570 (Imer 2007),,,sten,kvartsskiffer,runsten,,
N KJ92 U ,Eidsvåg,Åsane sn,Hordaland fylke,Bergen,Bergen museum (B5676),,,,U 160-560/570 (Imer 2007),,,sten,granit,runsten,,
N KJ93 †U ,Bratsberg,Trondheim,Sør-Trøndelag fylke,Trondheim,,,,,U 160-560/570 (Imer 2007),,,sten,,runsten,,
N KJ94 U ,Tveito,Dal sn,Telemark fylke,Tinn,Oldsaksamlingen (18396),,,,U 560/570-775/800 (Imer 2007),,,sten,blå täljsten,runsten,,
N KJ101 $U ,Eggja,Stedje sn,Sogn og Fjordane fylke,Sogndal,Bergen museum (B6915),,,,U 650-700 (Grønvik),,,sten,gnejs,runsten,,
N Viking2011;28 U ,Hogganvik,Mandal sn,Vest-Agder fylke,Mandal,,(58.037552 ; 7.36496),,,U 350-400 (Knirk 2011),,,sten,rödaktig ögongnejs (metamorf granit),runsten,58.037552,7.36496
FR 1  ,Kirkjubøur,Kirkjubøur,Streymoy sýsla,Tórshavnar,"Føroya Fornminnissavn, Tórshavn",,,,V,,,sten,sten,sten,,
